(て) しまう	～(て) しまう	to end up ~
(に) ついて	～(に) ついて	about, concerning
(に) よると	～(に) よると	according to ~
あ	あ	Ah
あげる	あげる	to give
あんな	あんな	such, like that
いくら～ても	いくら～ても	however much one may ~
いじめる	いじめる	to bully, to torment
いただく	頂く	-- extra-modest expression for たべる and のむ; humble expression for もらう --
いらっしゃる	いらっしゃる	-- honorific expression for いく, くる, and いる --
うかがう	うかがう	to ask
うまい	うまい	delicious; skillful; fortunate
うん	うん	yes (informal), all right (ok)
おいでになる	おいでになる	(hon.) to be
おかしい	おかしい	strange; odd; funny
おき	～おき	after every ~
おっしゃる	おっしゃる	-- honorific expression for いう --
おつり	おつり	change; balance of money returned to the purchaser
おもちゃ	おもちゃ	a toy
おる	おる	-- extra-modest expression for いる --
おわる	～おわる	to finish doing ~
お土産	おみやげ	souvenir
お嬢さん	おじょうさん	(someone's) daughter (polite)
お子さん	おこさん	(someone else's) child (polite)
お宅	おたく	(someone else's) house; home -- polite word for 家 (いえ) --
お礼	おれい	expression of gratitude; thanking; gift of appreciation; bow
お祝い	おいわい	congratulation, celebration
お祭り	おまつり	festival
お見舞い	おみまい	calling on someone who is ill, visit
お金持ち	かねもち	rich person
お陰	おかげ	thanks or owing to
かまう		to mind, to care about, to be concerned about
きっと	きっと	surely, definitely, undoubtedly, certainly
くださる	くださる	(hon.) to give, to confer
くれる	くれる	to give, to do for
けがする	けがする	injury (to animate object), hurt
けれど	けれど	but, although
けんかする	けんかする	quarrel
こう	こう	like this, this way
この間	このあいだ	the other day, recently
この頃	このごろ	these days, nowadays
これから	これから	from now on, after this
ございます	～ございます	to be (polite), to exist
ごちそう	ごちそう	feast, treating (someone)
ごみ	ごみ	trash, garbage
ごらんになる		-- honorific expression for みる --
ご主人	ごしゅじん	(your, her) husband
ご存じ	ごぞんじ	knowing, acquaintance
さっき	さっき	a little while ago
しっかり	しっかり	firmly, steady
しばらく	しばらく	little while
すっかり	すっかり	all, completely
すっと	すっと	straight, quickly
すり	すり	pickpocket
すると	すると	and, then
そう	そう	really, (is that) so; yes, right
それで	それで	and (conj.), thereupon, because of that
それに	それに	moreover; besides
それほど	それほど	to that degree; extent
そろそろ	そろそろ	gradually, soon
そんな	そんな	such, like that, that sort of
そんなに	そんなに	so much, like that
