一	いち	one
七	しち	seven
万	まん	ten thousand
三	さん	three
上	うえ	above (up, top, etc.), over, on top of
下	した	under, below, beneath
九	きゅう	nine
二	に	two
五	ご	five
今	いま	now
体	からだ	body; health
何	なん	what sort of ~
傘	かさ	umbrella, parasol
兄	あに	(my) older brother (humble)
先	さき	future; recent, previous
八	はち	eight
六	ろく	six
冬	ふゆ	winter
前	まえ	before, in front
北	きた	north
十	じゅう	ten (~)
千	せん	thousand
半	はん	half (e.g., にじはん | half-past two)
南	みなみ	South
卵	たまご	egg
口	くち	job opening; mouth
右	みぎ	right hand side
四	し	four
国	くに	country; place of origin
塩	しお	salt
声	こえ	voice
夏	なつ	summer
外	そと	outside, exterior
夜	よる	evening, night
女	おんな	woman, female
妹	いもうと	younger sister (humble)
姉	あね	(my) older sister (humble)
嫌	いや	disagreeable, detestable, unpleasant
家	いえ	house, home
山	やま	mountain
川	かわ	river
左	ひだり	left hand side
年	とし	year, age
店	みせ	store, shop
庭	にわ	garden
弟	おとうと	younger brother
後	あと	afterwards (later); in the future; the rest; since then
戸	と	door (Japanese style)
所	ところ	place
手	て	hand
方	かた	-- honorific form for 人 (ひと) --; way of doing
春	はる	spring
昼	ひる	noon, daytime
晩	ばん	evening
暇	ひま	free time, leisure
服	ふく	clothes
朝	あさ	morning
木	き	tree, wood, timber
本	ほん	counter for long cylindrical things
机	つくえ	desk
村	むら	village
東	ひがし	east
横	よこ	beside; side; width
橋	はし	bridge
次	つぎ	next
歌	うた	a song
歯	は	tooth
母	はは	(my) mother
水	みず	water
池	いけ	pond
海	うみ	sea, beach
父	ちち	(my) father
物	もの	thing (concrete object)
犬	いぬ	dog
猫	ねこ	cat
男	おとこ	man, male
町	まち	town; city
白	しろ	white
百	ひゃく	hundred
目	め	eye(s)
私	わたし	I (formal), myself, private affairs
秋	あき	fall (season)
空	そら	sky
窓	まど	window
箱	はこ	box
箸	はし	chopsticks
紙	かみ	paper
絵	え	a painting; a picture; a drawing
緑	みどり	green
耳	みみ	ear
肉	にく	meat
背	せい	(one's) height, stature
色	いろ	color
花	はな	flower
薬	くすり	medicine
西	にし	west
角	かど	corner (e.g., desk, pavement)
話	はなし	talk (chat), story
誰	だれ	who
赤	あか	red
足	あし	foot; leg
車	くるま	car, vehicle
辺	へん	area, vicinity
道	みち	road, street; way, directions
鍵	かぎ	a lock; a key
門	もん	gate
隣	となり	next to, next door to
雨	あめ	rain
雪	ゆき	snow
零	れい	zero, nought
青	あお	blue
靴	くつ	shoes, footwear
頭	あたま	head
顔	かお	face (body part)
風	かぜ	wind, breeze
飴	あめ	(hard) candy
駅	えき	station
魚	さかな	fish
鳥	とり	chicken (lit., bird)
黒	くろ	black
鼻	はな	nose
