ああ	ああ	Ah!, Oh!
あそこ	あそこ	there, over there, that place
あちら	あちら	this way (polite)
あっち	あっち	over there
あなた	あなた	you
あの	あの	that over there; like that, that way; um...
あれ	あれ	that one (over there)
いい	いい	good
いいえ	いいえ	no, not at all
いかが	いかが	how, in what way
いくつ	いくつ	how many, how old
いくら	いくら	how much, how many
いつ	いつ	when
いつも	いつも	always, usually, every time, never (with neg. verb)
うち	うち	home; house; my place
うるさい	うるさい	noisy; annoying
ええ	ええ	yes
お	お～	honorable ~ (honorific)
おじいさん	おじいさん	grandfather, male senior citizen
おととし	おととし	year before last
おばあさん	おばあさん	grandmother, female senior-citizen
おまわりさん	おまわりさん	policeman (friendly term)
お兄さん	おにいさん	(someone else's) older brother (formal)
お姉さん	おねえさん	older sister (formal)
お弁当	おべんとう	a boxed lunch
お手洗い	おてあらい	toilet, restroom, bathroom (lit., a place to wash one's hands)
お母さん	おかあさん	mother (formal)
お父さん	おとうさん	father (formal)
お皿	おさら	plate, dish
お腹	おなか	stomach
お茶	おちゃ	(green) tea
お菓子	おかし	confections, sweets, snack
お酒	おさけ	sake; alcohol
お金	おかね	money
お風呂	おふろ	a bath
かかる	かかる	it takes (amount of time, money) (v.i.)
かける	かける	to dial/call (e.g., phone); to sit down
かばん	かばん	bag, basket
かぶる	かぶる	to wear, to put on (e.g., a hat on the head)
か月	～かげつ	(number of) months
がる	～がる	feel
くらい	～くらい	approximate (quantity)
ここ	ここ	here, this place
こちら	こちら	this person (polite); this way (polite)
こっち	こっち	this person; this direction; this side
この	この	this
これ	これ	this one
ころ	～ころ	about, toward, approximately (time)
こんな	こんな	such, like this
さあ	さあ	come now, well
さん	～さん	Mr. ~, Ms. ~
さ来年	さらいねん	year after next
しかし	しかし	however; but
じゃ	じゃ	well, well then
すぎ	～すぎ	past; to exceed, ~ too much
すぐに	すぐに	immediately, soon
する	する	to do, to try; to wear small items (e.g., necktie, watch, etc.)
ずつ	～ずつ	at a time
そう	そう	yes; appears, to be the case
そうして	そうして	and, like that
そこ	そこ	that place, there; bottom, sole
そちら	そちら	over there
そっち	そっち	over there
その	その	that
そば	そば	near, close, beside; Japanese traditional buckwheat noodle
それ	それ	that one
それから	それから	and then, after that
それでは	それでは	in that situation, well then...
たち	～たち	plural suffix
たて	たて	length, height
たばこ	たばこ	tobacco, cigarettes
だけ	～だけ	only ~, just ~, as ~
ちょっと	ちょっと	a little, somewhat; just a little, somewhat
つける	つける	to turn on (e.g., a light); to take
つまらない	つまらない	boring, dull; insignificant
できる	できる	to be able to (to accomplish)
では	では	then, well, so
でも	でも	but, however
とても	とても	very (much), greatly, exceedingly
どう	どう	how, in what way
どうして	どうして	why, for what reason
どうぞ	どうぞ	please, kindly, by all means
どうも	どうも	Thank you; somehow; no matter how hard one may try
どこ	どこ	where, what place
どちら	どちら	which (one) (way); where (polite)
どっち	どっち	which one, which way
どなた	どなた	who
どの	どの	which
どれ	どれ	which one
どんな	どんな	what, what kind of
ない	ない	there isn't, doesn't have
なぜ	なぜ	why (same as どうして)
など	～など	et cetera
なる	なる	to become
にぎやか	にぎやか	bustling, busy
はい	はい	yes
はく	はく	to put on (items below your waist)
まずい	まずい	terrible (in reference to food), unappetizing, unpleasant (taste)
また	また	and; furthermore
まだ	まだ	yet, still, besides
まっすぐ	まっすぐ	straight (ahead), direct
みんな	みんな	all, everyone, everybody
もう	もう	already; again; more
もしもし	もしもし	Hello? (used on the phone)
もっと	もっと	more
やる	やる	to do; to give (to pets, parents, siblings, etc.)
ゆっくりと	ゆっくりと	slowly, at ease
よく	よく	frequently, often (much); well, skillfully
りっぱ	りっぱ	splendid, fine
アパート	アパート	apartment (abbr.)
エレベーター	エレベーター	elevator
カップ	カップ	cup
カメラ	カメラ	camera
カレンダー	カレンダー	calendar
カレー	カレー	curry (abbr. for curry and rice)
キロ	キロ	(abbr.) kilo (kilometer)
ギター	ギター	guitar
クラス	クラス	a class
グラム	グラム	gram
コップ	コップ	a tumbler; a glass
コピーする	コピーする	to copy
コート	コート	coat; court (e.g., tennis)
コーヒー	コーヒー	coffee
シャツ	シャツ	shirt
シャワー	シャワー	shower
スカート	スカート	skirt
ストーブ	ストーブ	heater (lit: stove)
スプーン	スプーン	spoon
スポーツ	スポーツ	sport(s)
ズボン	ズボン	trousers
セーター	セーター	sweater
ゼロ	ゼロ	zero
タクシー	タクシー	taxi
テスト	テスト	test
テレビ	テレビ	television, TV
テーブル	テーブル	table
テープ	テープ	tape
テープレコーダー	テープレコーダー	tape recorder
デパート	デパート	(abbr.) department store
トイレ	トイレ	bathroom; toilet
ドア	ドア	door (Western style)
ナイフ	ナイフ	knife
ニュース	ニュース	news
ネクタイ	ネクタイ	tie, necktie
ノート	ノート	notebook
ハンカチ	ハンカチ	handkerchief
バス	バス	bus; bath; bass
バター	バター	butter
パン	パン	bread
パーティー	パーティー	a party
フィルム	フィルム	film (roll of)
フォーク	フォーク	fork
プール	プール	swimming pool
ベッド	ベッド	bed
ペット	ペット	pet
ペン	ペン	pen
ページ	ページ	a page
ホテル	ホテル	hotel
ボタン	ボタン	button
ボールペン	ボールペン	ball-point pen
ポケット	ポケット	pocket
ポスト	ポスト	mailbox; post, position
マッチ	マッチ	match
メートル	メートル	meter
ラジオ	ラジオ	radio
ラジオカセ	ラジオカセ	radio cassette player
レコード	レコード	record
レストラン	レストラン	restaurant
ワイシャツ	ワイシャツ	shirt (lit: white shirt), business shirt
一つ	ひとつ	one thing
一人	ひとり	one person
一日	いちにち	one day; first day of the month
一昨日	おととい	the day before yesterday
一月	ひとつき	one month
一番	いちばん	best (most), first, number one
一緒	いっしょ	together
丁度	ちょうど	just, right, exactly
七つ	ななつ	seven things
七日	なのか	seven days; seventh day (of the month)
万年筆	まんねんひつ	fountain pen
丈夫	じょうぶ	strong, solid, durable
三つ	みっつ	three things
三日	みっか	three days, third day of the month
上げる	あげる	to raise, to lift
上手	じょうず	be good at, skillful
上着	うわぎ	coat, jacket
下さい	ください	(with te-form verb) please do for me
下手	へた	unskillful, poor
両親	りょうしん	parents (lit., both parents)
並ぶ	ならぶ	to line up, to stand in a line (v.i.)
並べる	ならべる	to put (things) side by side; to line up
中	～じゅう	inside, middle, among
丸い	まるい	round, circular
乗る	のる	to get on, to ride in, to board
九つ	ここのつ	nine things
九日	ここのか	nine days; ninth day of the month
二つ	ふたつ	two things
二人	ふたり	two people
二十日	はつか	twenty days, twentieth (day of the month)
二十歳	はたち	20 years old
二日	ふつか	two days; second day of the month
五つ	いつつ	five things
五日	いつか	five days; fifth day of the month
交差点	こうさてん	intersection
交番	こうばん	police box
人	～じん	counter for people
今年	ことし	this year
今日	きょう	today, this day
今晩	こんばん	tonight, this evening
今月	こんげつ	this month
今朝	けさ	this morning
今週	こんしゅう	this week
仕事	しごと	work, job, occupation, employment
休み	やすみ	holiday; day off; absence
休む	やすむ	to rest, to have a break, to get time off
会う	あう	to meet, to see
会社	かいしゃ	company, corporation
伯母さん	おばさん	aunt
伯父	おじさん	uncle, middle-aged man
低い	ひくい	short, low
住む	すむ	to reside, to live in
余り	あまり	not very; surplus
作る	つくる	to make, to create
作文	さくぶん	essay; composition
使う	つかう	to use
便利	べんり	convenient, handy
個	～こ	counter for small items (e.g., fruits, cups)
借りる	かりる	to borrow, to owe
側	～がわ	~ side
働く	はたらく	to work
元気	げんき	health(y), energetic
兄弟	きょうだい	siblings (humble), brothers and sisters
先月	せんげつ	last month
先生	せんせい	teacher, professor; master; doctor
先週	せんしゅう	last week
入る	はいる	to enter, to contain, to hold
入れる	いれる	to put in
入口	いりぐち	entrance
全部	ぜんぶ	all, entire, whole
八つ	やっつ	eight things
八日	ようか	eight days; eighth day of the month
八百屋	やおや	greengrocer
公園	こうえん	a park
六つ	むっつ	six things
六日	むいか	six days; sixth day of month
円	～えん	Yen
冊	～さつ	counter for books
写真	しゃしん	a picture; a photograph
冷たい	つめたい	cold (things, people)
冷蔵庫	れいぞうこ	refrigerator
出かける	でかける	to go out; to depart
出す	だす	to take (something) out; to hand in (something)
出る	でる	to appear, to leave
出口	でぐち	an exit
分	～ふん	~ minutes
分かる	わかる	to understand
切る	きる	to cut; to hang up (a phone)
切手	きって	postal (postage) stamps
切符	きっぷ	a ticket
初め	はじめ	beginning, start
初めて	はじめて	for the first time
勉強	べんきょう (する)	study
動物	どうぶつ	animal
勤める	つとめる	to work (for)
匹	～ひき	counter for small animals
医者	いしゃ	doctor; physician
十日	とおか	ten days; tenth day of the month
午前	ごぜん	morning, A.M.
午後	ごご	afternoon, P.M.
半分	はんぶん	half
危ない	あぶない	dangerous, critical
厚い	あつい	kind, warm(hearted), thick, deep
去年	きょねん	last year
友達	ともだち	friend
取る	とる	to take (a class); to get (a grade)
古い	ふるい	old (in reference to objects, not people), aged, ancient
可愛い	かわいい	cute, adorable
台	～だい	counter for vehicles; machines
台所	だいどころ	kitchen
同じ	おなじ	same, identical
名前	なまえ	name
向こう	むこう	beyond, over there
吸う	すう	to breathe in, to suck
吹く	ふく	to blow (wind, etc.)
呼ぶ	よぶ	to call (one's name); to invite
咲く	さく	to bloom
問題	もんだい	a problem
喫茶店	きっさてん	café
四つ	よっつ	four things
四日	よっか	four days; fourth day of the month
回	～かい	counter for occurrences (~ times)
困る	こまる	to be bothered, to have difficulty
図書館	としょかん	library
土曜日	どようび	Saturday
在る	ある	to be, to have
地下鉄	ちかてつ	underground train, subway
地図	ちず	a map
売る	うる	to sell (v.t.)
夏休み	なつやすみ	summer vacation
夕方	ゆうがた	late afternoon (typically just before dinner time), evening
夕飯	ゆうはん	dinner, supper, evening meal
外国	がいこく	foreign country; abroad
外国人	がいこくじん	foreigner
多い	おおい	many; there are a lot
多分	たぶん	perhaps, probably, maybe
大きい	おおきい	big, large
大きな	おおきな	big
大丈夫	だいじょうぶ	It's ok (all right); No need to worry; Everything is under control
大人	おとな	adult
大使館	たいしかん	embassy
大切	たいせつ	important
大勢	おおぜい	great number of people
大変	たいへん	very; difficult, hard
大好き	だいすき	very like-able, like very much
大学	だいがく	college; university
天気	てんき	weather
太い	ふとい	fat, thick
奥さん	おくさん	(someone else's) wife (hon.)
女の子	おんなのこ	girl
好き	すき	liking, fondness, love
始まる	はじまる	(something) begins
嫌い	きらい	dislike
子供	こども	child(ren)
字引	じびき	dictionary
学校	がっこう	a school
学生	がくせい	student
安い	やすい	inexpensive; cheap (things)
家庭	かてい	home; family
家族	かぞく	family, members of a family
宿題	しゅくだい	homework
寒い	さむい	cold (in reference to weather)
寝る	ねる	to sleep; to go to sleep; to go to bed
封筒	ふうとう	envelope
小さい	ちいさい	small, little
小さな	ちいさな	small, little
少し	すこし	little, few
少ない	すくない	a little; a few
居る	いる	(humble) to be (animate), to exist
屋	～や	~ shop
差す	さす	to raise (stretch out) hands, to raise (e.g., umbrella)
帰る	かえる	to go back, to go home, to return
帽子	ぼうし	hat; cap
平仮名	ひらがな	hiragana
広い	ひろい	spacious; wide; broad
度	～ど	counter for occurrences; ~ degree; ~ point
座る	すわる	to sit
廊下	ろうか	corridor
建物	たてもの	building
引く	ひく	to pull, to draw; subtract
弱い	よわい	weak
強い	つよい	strong, powerful
弾く	ひく	to play (a string instrument or piano)
待つ	まつ	to wait
後ろ	うしろ	back, behind, rear
御飯	ごはん	rice (cooked); meal
忘れる	わすれる	to forget
忙しい	いそがしい	busy (people, days)
悪い	わるい	bad, sinful; inferior
意味	いみ	meaning, significance
手紙	てがみ	letter
押す	おす	to push, to press, to stamp (e.g., a passport)
持つ	もつ	to hold, to carry; to possess
掃除	そうじ (する)	cleaning, sweeping
授業	じゅぎょう	a class (of school)
掛ける	かける	to put on (e.g., glasses); to hang (e.g., on a wall)
撮る	とる	to take (a photo), to make (a film)
教える	おしえる	to teach, to inform, to instruct
教室	きょうしつ	classroom
散歩	さんぽ (する)	walk, stroll
文章	ぶんしょう	sentence, text
料理	りょうり	cooking; cuisine
新しい	あたらしい	new
新聞	しんぶん	newspaper
旅行	りょこう	travel, trip
日	～にち	~ day of the month, for ~ days
日曜日	にちようび	Sunday
早い	はやい	early
明るい	あかるい	bright (in reference to personality or weather); cheerful
明後日	あさって	day after tomorrow
明日	あした	tomorrow
易しい	やさしい	easy, plain, simple
映画	えいが	movie, film
映画館	えいがかん	movie theater, cinema
昨夜	ゆうべ	last night
昨日	きのう	yesterday
昼御飯	ひるごはん	lunch, midday meal
時	～じ	~ o'clock (time)
時々	ときどき	sometimes
時計	とけい	a watch; a clock
時間	じかん	~ hours
